season,date,type,subtype,teams,n_teams,players,n_players,players_out,players_in,is_aggregation,text
2022-23,2022-09-22,waiver,,IND,1,yorkga01,1,0,0,False,The Indiana Pacers waived Gabe York.
2022-23,2022-09-22,waiver,,IND,1,stockda01,1,0,0,False,The Indiana Pacers waived David Stockton.
2022-23,2022-09-22,waiver,,IND,1,boatwbe01,1,0,0,False,The Indiana Pacers waived Bennie Boatwright.
2022-23,2022-09-23,waiver,,NYK,1,walkemj01,1,0,0,False,The New York Knicks waived M.J. Walker.
2022-23,2022-09-23,signing,other_signing,POR,1,iwundwe01,1,0,0,False,The Portland Trail Blazers signed Wesley Iwundu.
2022-23,2022-09-23,signing,other_signing,CHO,1,smithde03,1,0,0,False,The Charlotte Hornets signed Dennis Smith.
2022-23,2022-09-23,signing,other_signing,NYK,1,brookga01,1,0,0,False,The New York Knicks signed Garrison Brooks.
2022-23,2022-09-23,signing,other_signing,NYK,1,omotnu01,1,0,0,False,The New York Knicks signed Nuni Omot.
2022-23,2022-09-23,signing,other_signing,IND,1,pelleno01,1,0,0,False,The Indiana Pacers signed Norvel Pelle.
2022-23,2022-09-23,signing,other_signing,IND,1,anderju01,1,0,0,False,The Indiana Pacers signed Justin Anderson.
2022-23,2022-09-23,signing,other_signing,BOS,1,thomabr01,1,0,0,False,The Boston Celtics signed Brodric Thomas.
2022-23,2022-09-23,waiver,,NOP,1,brockiz01,1,0,0,False,The New Orleans Pelicans waived Izaiah Brockington.
2022-23,2022-09-23,signing,other_signing,MEM,1,gilyaja01,1,0,0,False,The Memphis Grizzlies signed Jacob Gilyard.
2022-23,2022-09-23,signing,other_signing,MEM,1,beanju01,1,0,0,False,The Memphis Grizzlies signed Justin Bean.
2022-23,2022-09-23,signing,other_signing,LAC,1,morgaju01,1,0,0,False,The Los Angeles Clippers signed Juwan Morgan.
2022-23,2022-09-23,signing,other_signing,NOP,1,butlejo01,1,0,0,False,The New Orleans Pelicans signed John Butler.
2022-23,2022-09-23,waiver,,LAC,1,wallake01,1,0,0,False,The Los Angeles Clippers waived Keaton Wallace.
2022-23,2022-09-23,waiver,,NYK,1,rosequ01,1,0,0,False,The New York Knicks waived Quinton Rose.
2022-23,2022-09-24,waiver,,IND,1,pelleno01,1,0,0,False,The Indiana Pacers waived Norvel Pelle.
2022-23,2022-09-24,waiver,,IND,1,anderju01,1,0,0,False,The Indiana Pacers waived Justin Anderson.
2022-23,2022-09-24,waiver,,ORL,1,ayayijo01,1,0,0,False,The Orlando Magic waived Joel Ayayi.
2022-23,2022-09-24,signing,other_signing,ORL,1,fordal03,1,0,0,False,The Orlando Magic signed Aleem Ford.
2022-23,2022-09-24,signing,other_signing,PHO,1,luwawti01,1,0,0,False,The Phoenix Suns signed Timoth̩ Luwawu-Cabarrot.
