season,player_id,player,age,g,gs,mp,per,ts_pct,usg_pct,ws,ws_48,obpm,dbpm,bpm,vorp
2005-06,wesleda01,David Wesley,35.0,71.0,59.0,2372.0,9.6,0.546,15.3,3.6,0.072,-2.2,0.2,-2.0,0.0
2005-06,villach01,Charlie Villanueva,21.0,81.0,36.0,2361.0,16.4,0.521,21.7,3.9,0.079,0.7,-1.6,-0.9,0.6
2005-06,snower01,Eric Snow,32.0,82.0,82.0,2351.0,8.1,0.444,10.9,2.1,0.042,-3.6,0.6,-3.0,-0.6
2005-06,knighbr01,Brevin Knight,30.0,69.0,67.0,2351.0,17.3,0.478,20.3,4.9,0.101,0.4,1.0,1.4,2.0
2005-06,bogutan01,Andrew Bogut,21.0,82.0,77.0,2348.0,15.2,0.555,15.9,5.5,0.113,-0.3,0.7,0.4,1.4
2005-06,headlu01,Luther Head,23.0,80.0,27.0,2310.0,11.2,0.517,16.6,3.5,0.072,-1.3,1.1,-0.2,1.1
2005-06,willide01,Deron Williams,21.0,80.0,47.0,2307.0,12.4,0.5,20.3,2.8,0.059,-0.5,-1.2,-1.7,0.2
2005-06,paytoga01,Gary Payton,37.0,81.0,25.0,2305.0,10.7,0.52,14.1,4.1,0.085,-1.4,0.5,-0.9,0.6
2005-06,thomake01,Kenny Thomas,28.0,82.0,55.0,2293.0,15.0,0.539,16.6,5.5,0.115,-0.7,0.6,0.0,1.1
2005-06,daniean01,Antonio Daniels,30.0,80.0,17.0,2283.0,13.7,0.55,15.4,5.3,0.111,0.1,-0.8,-0.7,0.8
2005-06,ilgauzy01,Zydrunas Ilgauskas,30.0,78.0,78.0,2283.0,21.9,0.576,24.6,8.7,0.184,1.4,0.2,1.6,2.1
2005-06,millemi01,Mike Miller,25.0,74.0,9.0,2268.0,17.2,0.595,21.3,7.4,0.157,2.4,0.6,3.0,2.9
2005-06,childjo01,Josh Childress,22.0,74.0,10.0,2249.0,15.8,0.626,14.0,5.7,0.121,1.3,-0.1,1.2,1.8
2005-06,blounma01,Mark Blount,30.0,81.0,55.0,2240.0,12.1,0.549,21.4,1.7,0.037,-2.9,-0.6,-3.4,-0.8
2005-06,nocioan01,AndrÃ©s Nocioni,26.0,82.0,43.0,2239.0,16.1,0.567,21.3,6.7,0.144,0.8,0.9,1.7,2.1
2005-06,battito01,Tony Battie,29.0,82.0,82.0,2215.0,12.2,0.531,14.9,3.8,0.083,-1.7,0.0,-1.8,0.1
2005-06,artesro01,Metta World Peace,26.0,56.0,56.0,2207.0,15.2,0.491,23.6,3.7,0.081,-0.2,1.3,1.1,1.7
2005-06,walkean02,Antoine Walker,29.0,82.0,19.0,2199.0,14.4,0.524,23.2,3.6,0.08,1.1,-0.7,0.4,1.3
2005-06,marbust01,Stephon Marbury,28.0,60.0,60.0,2193.0,16.4,0.532,22.2,3.9,0.084,1.8,-1.7,0.1,1.1
2005-06,goodedr01,Drew Gooden,24.0,79.0,79.0,2174.0,17.6,0.552,18.6,6.6,0.145,0.5,-0.8,-0.2,1.0
2005-06,brezepr01,PrimoÅ¾ Brezec,26.0,79.0,79.0,2165.0,15.3,0.552,20.0,4.6,0.102,-0.4,-2.0,-2.4,-0.2
2005-06,duhonch01,Chris Duhon,23.0,74.0,38.0,2155.0,12.9,0.538,15.0,5.2,0.116,0.0,0.8,0.8,1.5
2005-06,chandty01,Tyson Chandler,23.0,79.0,50.0,2121.0,12.2,0.567,10.4,5.4,0.123,-2.2,1.8,-0.4,0.9
2005-06,murraro01,Ronald Murray,26.0,76.0,27.0,2112.0,11.5,0.487,21.7,0.7,0.015,-1.6,-1.6,-3.2,-0.6
2005-06,jaricma01,Marko JariÄ,27.0,75.0,49.0,2102.0,11.7,0.468,17.0,2.3,0.053,-2.1,1.4,-0.7,0.7
2005-06,masonde01,Desmond Mason,28.0,70.0,55.0,2102.0,9.2,0.46,20.8,-0.2,-0.005,-3.5,-1.4,-4.9,-1.5
2005-06,jonesda01,Damon Jones,29.0,82.0,7.0,2089.0,9.3,0.538,12.6,3.4,0.077,-0.6,-0.5,-1.1,0.5
2005-06,jonesju01,Jumaine Jones,26.0,76.0,42.0,2089.0,12.1,0.506,18.3,3.0,0.068,-0.9,-0.9,-1.7,0.2
2005-06,marshdo01,Donyell Marshall,32.0,81.0,0.0,2077.0,13.4,0.517,18.2,4.2,0.097,0.2,-0.1,0.1,1.1
2005-06,salmojo01,John Salmons,26.0,82.0,24.0,2059.0,10.7,0.508,16.3,1.7,0.04,-2.3,-0.3,-2.7,-0.3
2005-06,finlemi01,Michael Finley,32.0,77.0,18.0,2038.0,12.7,0.523,18.9,5.0,0.117,0.1,0.2,0.2,1.1
2005-06,lafrera01,Raef LaFrentz,29.0,82.0,63.0,2033.0,12.0,0.546,14.7,4.3,0.101,-0.4,0.2,-0.1,1.0
2005-06,claxtsp01,Speedy Claxton,27.0,71.0,3.0,2019.0,16.1,0.497,23.8,3.0,0.072,-0.1,0.3,0.1,1.1
2005-06,roseja01,Jalen Rose,33.0,72.0,45.0,1983.0,13.9,0.538,21.8,2.5,0.06,0.5,-2.0,-1.5,0.2
2005-06,johnsan02,Anthony Johnson,31.0,75.0,53.0,1981.0,14.2,0.52,18.3,4.5,0.108,0.2,0.4,0.7,1.3
2005-06,brownkw01,Kwame Brown,23.0,72.0,49.0,1978.0,11.7,0.545,13.6,3.6,0.088,-1.7,-0.8,-2.5,-0.3
2005-06,radmavl01,Vladimir RadmanoviÄ,25.0,77.0,27.0,1974.0,13.6,0.545,18.1,3.8,0.091,1.0,-0.5,0.5,1.2
